classificationyear,financialyear,indicator,state,nic,nic_code_type,indicator_values,unit
2008,2021-22,Number of Factories,A & N. Island,All,3-digit,13,-
2008,2021-22,Number of Factories,A & N. Island,Manufacture of vegetable and animal oils and fats,3-digit,5,-
2008,2021-22,Number of Factories,A & N. Island,Other,3-digit,8,-
2008,2021-22,Number of Factories,Andhra Pradesh,All,3-digit,16925,-
2008,2021-22,Number of Factories,Andhra Pradesh,Support activities to agriculture and post-harvest crop activities,3-digit,472,-
2008,2021-22,Number of Factories,Andhra Pradesh,Mining and quarrying n.e.c.,3-digit,4,-
2008,2021-22,Number of Factories,Andhra Pradesh,Processing and preserving of meat,3-digit,7,-
2008,2021-22,Number of Factories,Andhra Pradesh,"Processing and preserving of fish, crustaceans and molluscs",3-digit,148,-
2008,2021-22,Number of Factories,Andhra Pradesh,Processing and preserving of fruit and vegetables,3-digit,165,-
2008,2021-22,Number of Factories,Andhra Pradesh,Manufacture of vegetable and animal oils and fats,3-digit,318,-
